issue,key,parent_key,average_to_do_workdays,average_acknowledged_workdays,average_wip_workdays,average_on_hold_team_internal_workdays,average_on_hold_customers_workdays,average_verified_workdays,average_resolved_workdays,workdays_in_current_status,status,sw_resolution__breached,software_defect_resolution_sla_breached,average_resolution_workdays,priority,severity,components,linked_issues_count,resolution,created_by,customer,realm,impacted_environment,found_in,type,defect_category,software_defect_fix_sla_start_date,software_defect_fix_sla_target_date,software_defect_fix_sla_end_date,software_defect_resolution_sla_start_date,software_defect_resolution_sla_target_date,software_defect_resolution_sla_end_date,product_deliverable,core_product,parent_product,feature_attribute,created_date,resolution_date,due_date,software_defect_acknowledgement_sla_breached,software_defect_acknowledgement_sla_start_date,software_defect_acknowledgement_sla_end_date,software_defect_acknowledgement_sla_target_date,external_id,reopen_count,resolution_quality,created_year_month,resolved_year_month
ISSUE-1005,KEY-1005,,21.9607,0,0,89.7809,2.9383,0,0,207.24754372685186,Resolved,1,Breached,117.68,unassigned,S2 - Major,COMP-97,0,Fixed by Software Development,External Customer,CUST-80,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-6,4/10/24 16:32,,,4/10/24 16:32,5/13/24 14:43,2024-09-23T08:57:42.000,PROD-DELIVERABLE-1,CORE-PROD-137,PARENT-PROD-36,FEATURE-2,2024-04-10T16:32:06.000,9/23/24 8:57,,Breached,4/10/24 16:32,9/23/24 8:57,4/22/24 15:03,EXTERNAL-ID-1,0,Positively Resolved,2024-04,2024-09
ISSUE-2216,KEY-2216,,17.1876,0,0,23.5782,0,0,0,221.35939559027776,Resolved,1,Breached,40.77,unassigned,S2 - Major,COMP-49,0,Invalid,External Customer,CUST-119,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/8/24 11:53,,,7/8/24 11:53,8/5/24 11:33,2024-09-03T06:16:38.000,PROD-DELIVERABLE-1,CORE-PROD-98,PARENT-PROD-27,FEATURE-2,2024-07-08T11:53:53.000,9/3/24 6:16,,Breached,7/8/24 11:53,9/3/24 6:16,7/15/24 11:53,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-09
ISSUE-2269,KEY-2269,,62.9052,0,0,0,0,0,0,198.39125901620372,Resolved,1,Breached,62.91,unassigned,S2 - Major,COMP-85,0,Invalid,External Customer,CUST-119,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/9/24 7:47,,,7/9/24 7:47,8/6/24 7:27,2024-10-04T05:30:45.000,PROD-DELIVERABLE-1,CORE-PROD-10,PARENT-PROD-26,FEATURE-2,2024-07-09T07:47:17.000,10/4/24 5:30,,Breached,7/9/24 7:47,10/4/24 5:30,7/16/24 7:47,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-10
ISSUE-2293,KEY-2293,,0.1743,0,0,17.5582,0,0,0.2514,243.25098123842594,Closed,0,Not breached,17.73,unassigned,S3 - Minor,COMP-38,0,Outdated/No Feedback,External Customer,CUST-111,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/9/24 9:15,,,7/9/24 9:15,10/1/24 8:15,2024-08-02T02:50:40.000,PROD-DELIVERABLE-1,CORE-PROD-58,PARENT-PROD-18,FEATURE-2,2024-07-09T09:15:56.000,8/2/24 2:50,,Breached,7/9/24 9:15,8/2/24 2:50,7/16/24 9:15,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-175,KEY-175,,0,0,0,0,0,0,0,258.0420923611111,Open,0,Breached,0,unassigned,S3 - Minor,COMP-119,1,(unresolved),External Customer,CUST-53,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,7/12/24 13:53,,,7/12/24 13:53,10/4/24 12:53,,PROD-DELIVERABLE-19,CORE-PROD-9,PARENT-PROD-26,FEATURE-2,2024-07-12T13:53:33.000,,,Breached,7/12/24 13:53,,7/19/24 13:53,EXTERNAL-ID-336,0,Unresolved,2024-07,NaT
ISSUE-331,KEY-331,,3.0318,0.9416,0,0,0,0,0,248.88929143518516,Resolved,0,Not breached,7.97,unassigned,S2 - Major,COMP-25,1,Fixed by Data Correction,External Customer,CUST-165,REALM--108,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-11,7/15/24 18:28,8/5/24 18:13,7/25/24 17:33,7/15/24 18:22,8/16/24 17:52,2024-07-25T17:33:35.000,PROD-DELIVERABLE-1,CORE-PROD-37,PARENT-PROD-8,FEATURE-2,2024-07-15T18:22:16.000,7/25/24 17:33,,Not breached,7/15/24 18:22,7/25/24 17:33,7/29/24 16:47,EXTERNAL-ID-1,1,Positively Resolved,2024-07,2024-07
ISSUE-353,KEY-353,,17.6023,0,0,6.7299,17.2219,0,0,210.27046041666665,Resolved,1,Breached,46.41,unassigned,S2 - Major,COMP-64,0,Won't Fix,External Customer,CUST-84,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-8,7/15/24 22:35,,,7/15/24 22:35,9/5/24 3:34,2024-09-18T08:24:42.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-15T22:35:04.000,9/18/24 8:24,,Breached,7/15/24 22:35,9/18/24 8:24,8/15/24 3:54,EXTERNAL-ID-1,1,Negatively Resolved,2024-07,2024-09
ISSUE-571,KEY-571,,0.8141,0,0,6.2027,4.9852,0,0,242.9487822,Resolved,0,Not breached,12,unassigned,S2 - Major,COMP-61,0,Outdated/No Feedback,External Customer,CUST-128,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/17/24 16:05,,,7/17/24 16:05,8/21/24 15:23,2024-08-02T16:07:55.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-17T16:05:06.000,8/2/24 16:07,,Breached,7/17/24 16:05,8/2/24 16:07,7/31/24 15:43,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-598,KEY-598,,2.4506,0,0,4.2617,99.9502,0,0,147.98345811342594,Resolved,0,Not breached,106.66,unassigned,S2 - Major,COMP-149,0,Invalid,External Customer,CUST-126,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/17/24 23:24,,,7/17/24 23:24,1/2/25 21:52,2024-12-13T15:17:59.000,PROD-DELIVERABLE-1,CORE-PROD-137,PARENT-PROD-40,FEATURE-2,2024-07-17T23:24:05.000,12/13/24 15:17,,Breached,7/17/24 23:24,12/13/24 15:17,12/11/24 22:12,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-12
ISSUE-615,KEY-615,,1.2515,0,0,0,0,0,0,253.2374395949074,Resolved,0,Not breached,1.25,unassigned,S0 - ShowStopper,COMP-97,0,Fixed by Software Development,External Customer,CUST-143,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-9,7/18/24 3:10,,,7/18/24 3:10,7/25/24 3:10,2024-07-19T09:12:15.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-18T03:10:07.000,7/19/24 9:12,,Not breached,7/18/24 3:10,7/19/24 9:12,7/22/24 3:10,EXTERNAL-ID-1,0,Positively Resolved,2024-07,2024-07
ISSUE-648,KEY-648,,0.238,0,0,0,0,0,0.0001,254.09639792824072,Closed,0,Not breached,0.24,unassigned,S3 - Minor,COMP-43,0,Invalid,External Customer,CUST-36,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/18/24 6:52,,,7/18/24 6:52,10/10/24 5:52,2024-07-18T12:35:13.000,PROD-DELIVERABLE-1,CORE-PROD-49,PARENT-PROD-18,FEATURE-2,2024-07-18T06:52:26.000,7/18/24 12:35,,Not breached,7/18/24 6:52,7/18/24 12:35,7/25/24 6:52,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
ISSUE-664,KEY-664,,4.8211,0,0,2.2605,16.2698,0,0,230.94313405092595,Resolved,0,Not breached,23.35,unassigned,S3 - Minor,COMP-66,1,Outdated/No Feedback,External Customer,CUST-143,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/18/24 7:50,,,7/18/24 7:50,11/1/24 12:18,2024-08-20T16:16:03.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-18T07:50:02.000,8/20/24 16:16,,Breached,7/18/24 7:50,8/20/24 16:16,8/16/24 14:18,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-08
ISSUE-964,KEY-964,,2.467,0,0,0.2522,0,0,14.9338,236.01871275462963,Closed,0,Not breached,2.72,unassigned,S2 - Major,COMP-35,0,Invalid,External Customer,CUST-31,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-1,7/18/24 22:46,,,7/18/24 22:46,8/15/24 22:26,2024-07-23T16:02:32.000,PROD-DELIVERABLE-1,CORE-PROD-58,PARENT-PROD-18,FEATURE-2,2024-07-18T22:46:47.000,7/23/24 16:02,,Not breached,7/18/24 22:46,7/23/24 16:02,7/25/24 22:46,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
ISSUE-978,KEY-978,,1.3428,0,0,1.141,0,0,63.2251,187.8389442361111,Closed,0,Not breached,65.67,unassigned,S2 - Major,COMP-61,0,Invalid,External Customer,CUST-95,REALM--1,ENV-7,Post Production Release,Software Defect,DEFECT-CATEGORY-6,7/19/24 1:45,,,7/19/24 1:45,11/13/24 4:53,2024-10-18T17:49:48.000,PROD-DELIVERABLE-1,CORE-PROD-1,PARENT-PROD-1,FEATURE-2,2024-07-19T01:45:12.000,10/18/24 17:49,,Not breached,7/19/24 1:45,10/18/24 17:49,10/23/24 6:13,EXTERNAL-ID-1,1,Negatively Resolved,2024-07,2024-10
ISSUE-1042,KEY-1042,CCP-13379,5.023,0,0,0,0,0,0.0001,248.0414326736111,Closed,0,Not breached,5.02,unassigned,S1 - Critical,COMP-119,0,Invalid,External Customer,CUST-53,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-8,7/19/24 13:21,,,7/19/24 13:21,8/2/24 13:21,2024-07-26T13:54:22.000,PROD-DELIVERABLE-19,CORE-PROD-54,PARENT-PROD-26,FEATURE-2,2024-07-19T13:21:13.000,7/26/24 13:54,,Breached,7/19/24 13:21,7/26/24 13:54,7/24/24 13:21,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
ISSUE-1101,KEY-1101,,0.4398,0,0,0,0,0,0,252.18113174768519,Resolved,0,Not breached,0.44,unassigned,S3 - Minor,COMP-61,0,Invalid,External Customer,CUST-83,REALM--37,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,7/20/24 2:00,,,7/20/24 2:00,10/12/24,2024-07-22T10:33:20.000,PROD-DELIVERABLE-1,CORE-PROD-120,PARENT-PROD-40,FEATURE-2,2024-07-20T02:00:10.000,7/22/24 10:33,,Not breached,7/20/24 2:00,7/22/24 10:33,7/29/24 1:00,EXTERNAL-ID-1,0,Negatively Resolved,2024-07,2024-07
